,geofips,geoname,timeperiod,employment,nominal_GDP,GDP,gdp_gr,emp_gr
2925,54000,West Virginia,1997,858297.0,38777499648,58934300672.0,,
2926,54000,West Virginia,1998,868370.0,40014602240,59847397376.0,1.549346804133389,1.1736030767904415
2927,54000,West Virginia,1999,868236.0,41714298880,61783900160.0,3.2357343324950882,-0.015431210198413314
2928,54000,West Virginia,2000,875561.0,42495602688,61665697792.0,-0.19131580831558415,0.8436646257469205
2929,54000,West Virginia,2001,872546.0,43973300224,61818601472.0,0.24795580926650906,-0.34435065061143577
2930,54000,West Virginia,2002,871233.0,45580800000,62834102272.0,1.6427107307821487,-0.15047917244477294
2931,54000,West Virginia,2003,868331.0,47039897600,63145500672.0,0.49558820567212614,-0.33309114783300897
2932,54000,West Virginia,2004,879293.0,49741398016,64159801344.0,1.60629128157308,1.262421818407966
2933,54000,West Virginia,2005,890779.0,53492498432,65678397440.0,2.366896505582794,1.3062767473413395
2934,54000,West Virginia,2006,902935.0,57009999872,66861400064.0,1.8012050691107673,1.3646482460857312
2935,54000,West Virginia,2007,915669.0,59273498624,67119099904.0,0.38542393631202376,1.410289777226481
2936,54000,West Virginia,2008,918366.0,62694801408,68483899392.0,2.0333995687547457,0.2945387470800087
2937,54000,West Virginia,2009,899038.0,63600697344,68191797248.0,-0.42652674072779506,-2.1046075312021517
2938,54000,West Virginia,2010,899472.0,65998704640,69153497088.0,1.4102866896182453,0.04827382157372995
2939,54000,West Virginia,2011,909035.0,69234098176,70361292800.0,1.7465432159750938,1.063179287404159
2940,54000,West Virginia,2012,918927.0,70322200576,70322200576.0,-0.0555592747721656,1.088186923495793
2941,54000,West Virginia,2013,913619.0,71481499648,70550102016.0,0.324081780907437,-0.5776302143695844
2942,54000,West Virginia,2014,911516.0,72648204288,70532497408.0,-0.024953341663502826,-0.23018347910890302
2943,54000,West Virginia,2015,904242.0,71318503424,70662995968.0,0.185019054755875,-0.7980112252555127
2944,54000,West Virginia,2016,890217.0,70924394496,70011396096.0,-0.9221231891937909,-1.5510228456541486
2945,54000,West Virginia,2017,888859.0,74799497216,71459397632.0,2.0682369110515797,-0.15254707560067304
2946,54000,West Virginia,2018,897857.0,79044796416,73114206208.0,2.3157326129753963,1.0123090388914235
2947,54000,West Virginia,2019,881598.0,79139700736,72542896128.0,-0.7813940814384246,-1.8108674321189233
2948,54000,West Virginia,2020,841019.0,75855003648,69711601664.0,-3.902924497257809,-4.60289156735837
2949,54000,West Virginia,2021,858231.0,87394500608,72481497088.0,3.9733636265459893,2.0465649408634157
